gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CAR,neg_log10_padj,gene_group
TNFRSF4,2648.7120502301223,2.325550681462071,0.7406841638967826,3.1397332288396895,0.00169101747905223,0.01748574388065011,NKG2D-CD3ζ/Dap10,1.7573158871528753,Activation
TNFRSF8,422.387357082927,1.7997218605546943,1.5021998053470225,1.1980575780589595,0.23089460235688064,0.42164166445470286,NKG2D-CD3ζ/Dap10,0.3750564809341961,Activation
TNFRSF9,4671.229029728614,3.64514423880974,0.9314570313065124,3.9133788422820346,9.101357558511334e-5,0.00264474379751621,NKG2D-CD3ζ/Dap10,2.5776163927078684,Activation
TNFSF13B,175.8331403163972,-1.7181195037609296,0.7540967978107961,-2.2783805855544927,0.022703912093467,0.09369965882898412,NKG2D-CD3ζ/Dap10,1.0282619904244878,Activation
TOP2A,3989.5442825525097,1.211359961050796,0.5738676644951528,2.110869867735905,0.0347834986884159,0.1232924849053182,NKG2D-CD3ζ/Dap10,0.9090633943176342,Proliferation
ULBP1,8.147143972440439,0.14206884362420658,1.439257512785413,0.09870981555570205,0.9213686752441128,0.9611490416025142,NKG2D-CD3ζ/Dap10,0.017209262771899457,NA
ULBP2,11.334227455852142,0.2747668698445602,1.0473515171183778,0.26234446158109154,0.7930558866336116,0.8875669443634747,NKG2D-CD3ζ/Dap10,0.051798880558847765,NA
ULBP3,29.18383410529467,-1.2361643729351175,0.7627681128773331,-1.6206293263519198,0.10509715885929108,0.25465465182186214,NKG2D-CD3ζ/Dap10,0.594048386080722,NA
CDC20,2991.2005236185596,1.081735209004097,0.4500500839618346,2.4035885061535307,0.01623503650843247,0.07468023809706495,NKG2D/Dap10-CD3ζ,1.1267943060941883,Proliferation
CDK1,1483.380445990774,1.5189662436609268,0.45581797167682025,3.332396566272051,8.610146943287259e-4,0.01020699559778769,NKG2D/Dap10-CD3ζ,1.991102072537469,Proliferation
CRTAM,2684.302560885621,1.461662569830863,0.7910077864143832,1.8478485230297663,0.06462425912463593,0.1914885582584444,NKG2D/Dap10-CD3ζ,0.7178571706962635,Activation
DUSP4,6596.980547364267,2.201467641481521,0.5393476791225255,4.081722656270865,4.4703122918355984e-5,0.0012617038010848,NKG2D/Dap10-CD3ζ,2.8990425885568447,Activation
GNLY,45989.14793838967,-1.361226906884803,1.2782241776148653,-1.0649359718925195,0.28690490530458096,0.5002926103558417,NKG2D/Dap10-CD3ζ,0.30077591187849895,Cytotoxicity
GZMA,13014.881674171866,-0.1513275776393433,0.5417746630363356,-0.2793182995883181,0.7800005639006129,0.8838100401221645,NKG2D/Dap10-CD3ζ,0.05364106914067888,Cytotoxicity
GZMB,50256.09671662084,2.2290551253733324,0.7980453779757462,2.7931433310563913,0.00521985574211702,0.03500030447682852,NKG2D/Dap10-CD3ζ,1.4559281775916864,Cytotoxicity
GZMH,772.8482035055544,-1.5609592448958884,0.9036410092268108,-1.727410806899417,0.08409391114243732,0.22906626390970877,NKG2D/Dap10-CD3ζ,0.640038867496352,Cytotoxicity
GZMK,1059.197527726015,-3.1380126339620973,0.7405086708852849,-4.237644685794934,2.2587685742188757e-5,8.125010072190011e-4,NKG2D/Dap10-CD3ζ,3.0901760919744627,Cytotoxicity
ID3,304.0281243052165,-0.5484329355264487,0.5876044070595638,-0.9333370017949092,0.3506459962105246,0.5642018067844994,NKG2D/Dap10-CD3ζ,0.24856552740560528,Activation
IFNG,2102.639838803414,4.109557360454609,0.5336545321644198,7.70078227160722,1.3523574859171012e-14,3.620486382714399e-11,NKG2D/Dap10-CD3ζ,10.441233081638218,Activation
IL2RA,13281.36207594541,3.1453250695317676,0.472733136820937,6.6534897271717215,2.8622380193511364e-11,3.173545904184337e-8,NKG2D/Dap10-CD3ζ,7.4984552153932675,Activation
KLRD1,1425.264827733504,-1.5186855294202084,0.6346911548306464,-2.392794539299097,0.0167206014569466,0.07619376488026477,NKG2D/Dap10-CD3ζ,1.1180805665723168,Cytotoxicity
