ModelID	MICA	MICB	ULBP1	ULBP2	ULBP3	RAET1E	RAET1G	RAET1L	CellLineName	StrippedCellLineName	CCLEName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype
ACH-000720	0.0692344779986836	-0.206955557522761	0.019388490744628	-0.132554410819924	-0.20925947458692	0.291316416226404	-0.0578796502877546	-0.103877453351795	TCCSUP	TCCSUP	TCCSUP_URINARY_TRACT	Bladder/Urinary Tract	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma
ACH-000764	-0.149942249176823	-0.10328775965752	0.310421914147672	-0.372821399165275	-0.0258430184094273	0.134099729390645	-0.274065985279918	-0.00687107720438626	SH-10-TC	SH10TC	SH10TC_STOMACH	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Mucinous Stomach Adenocarcinoma
ACH-000782	-0.0501995867692999	-0.370037388651584	-0.0439831584105167	-0.145674182516355	0.0303662850065111	0.0017789143398442	-0.00413656176964121	-0.298316633282856	SEM	SEM	SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	B-Cell Acute Lymphoblastic Leukemia	B-Cell Acute Lymphoblastic Leukemia
ACH-000792	0.0455870593218811	-0.129878421041882	0.0900529732218118	-0.17536961531041	0.0852522034441985	0.206822227159765	-0.0383840017321997	-0.24365596157313	BFTC-909	BFTC909	BFTC909_KIDNEY	Kidney	Renal Cell Carcinoma	Renal Cell Carcinoma
ACH-000799	0.0526813731924929	-0.648173575774983	0.175040091415817	-0.210933446495264	0.0806826575597521	0.0927898090986669	-0.0605062911142638	0.0576971933592507	Hs 695T	HS695T	HS695T_SKIN	Skin	Melanoma	Melanoma
ACH-000817	0.0154705183838543	-0.348845109141673	0.0685789756885884	-0.0648738317933754	0.0475794690042633	0.245684208730596	0.285728452724615	-0.100561306133011	RPMI 8226	RPMI8226	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma
ACH-000826	0.033820493157573	0.10099257555029	0.405973624530739	0.0629983352747737	-0.214100420494666	0.223375709615405	-0.380560806848664	0.255090438640962	CAL-12T	CAL12T	CAL12T_LUNG	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer
ACH-000829	-0.0147385293473446	-0.0925457882980981	0.025607038438542	-0.382670538210365	-0.162101737881522	-0.0291890239314502	-0.0205194276364752	-0.161911130355671	HuNS1	HUNS1	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma
ACH-000836	0.0502474222717572	-0.224804288367143	-0.0231888883345648	-0.052828688445413	-0.00210422559932157	0.154561786883014	0.153337983740601	-0.0699933033308721	YD-15	YD15	YD15_SALIVARY_GLAND	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma
ACH-000867	0.00746797401503598	-0.174598341526194	0.0437843150197452	-0.178819065473486	-0.129839396136611	0.172910965971946	0.0130847858035114	-0.0108434127109343	ChaGo-K-1	CHAGOK1	CHAGOK1_LUNG	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer
